id,timestamp,channel_id,name,group_name,value,unit,quality,source,connected,metadata_json
6553,2026-01-01T00:10:30+00:00,defrost,Degelo,I/O,0.0,bool,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""machine_state"": ""RECUPERACAO""}"
6554,2026-01-01T00:10:30+00:00,dripping,Gotejamento,I/O,0.0,bool,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""machine_state"": ""RECUPERACAO""}"
6555,2026-01-01T00:10:30+00:00,communication,Comunicação simulada,COMUNICAÇÃO,1.0,bool,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""machine_state"": ""RECUPERACAO""}"
6556,2026-01-01T00:10:30+00:00,current_total,Corrente total da máquina,MEDIÇÃO ELÉTRICA,19.007,A,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""instrument"": ""EM210 #1 - TOTAL""}"
6557,2026-01-01T00:10:30+00:00,current_compressor,Corrente do compressor,MEDIÇÃO ELÉTRICA,12.003,A,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""instrument"": ""EM210 #2 - COMPRESSOR""}"
6558,2026-01-01T00:10:30+00:00,current_l1,Corrente L1,MEDIÇÃO ELÉTRICA,6.328,A,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""instrument"": ""EM210 #1 - TOTAL""}"
6559,2026-01-01T00:10:30+00:00,current_l2,Corrente L2,MEDIÇÃO ELÉTRICA,6.332,A,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""instrument"": ""EM210 #1 - TOTAL""}"
6560,2026-01-01T00:10:30+00:00,current_l3,Corrente L3,MEDIÇÃO ELÉTRICA,6.347,A,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""instrument"": ""EM210 #1 - TOTAL""}"
6561,2026-01-01T00:10:35+00:00,temperature_chamber,Temperatura da câmara,SENSORES,3.8692376221494524,°C,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""machine_state"": ""RECUPERACAO""}"
6562,2026-01-01T00:10:35+00:00,temperature_evaporator,Temperatura do evaporador,SENSORES,-0.7238283001593546,°C,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""machine_state"": ""RECUPERACAO""}"
6563,2026-01-01T00:10:35+00:00,pressure_suction,Pressão de sucção,SENSORES,20.000984858827973,psi,VÁLIDA,SIMULADOR,1,"{""controller"": ""VIRTUAL_REFRIGERATION_MACHINE"", ""scenario_id"": ""CEN-ACE657BB"", ""execution_id"": ""EXE-BFCFF6663361"", ""session_id"": ""DIA-9A50C74283C8"", ""seed"": 1, ""machine_state"": ""RECUPERACAO""}"
